epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,646.048,0.72588,0.4227,0.983,0.89295,0.93913,0.95234,0.81031,0.65548,0.45988,0.99843,0.000698066,0.000698066,0.000698066
157,649.683,0.73659,0.43079,0.9981,0.87064,0.93919,0.94456,0.80202,0.67021,0.46349,1.0093,0.000693351,0.000693351,0.000693351
158,653.312,0.6947,0.41296,0.96876,0.87157,0.92028,0.94555,0.81191,0.65721,0.46263,1.00433,0.000688635,0.000688635,0.000688635
159,657.013,0.71877,0.42704,0.98238,0.91364,0.8839,0.93608,0.81056,0.66239,0.44732,1.01169,0.000683919,0.000683919,0.000683919
160,660.72,0.72576,0.42581,0.99275,0.91293,0.88363,0.93489,0.81396,0.65716,0.45222,0.99951,0.000679204,0.000679204,0.000679204
161,664.412,0.71561,0.42441,0.98112,0.88459,0.92497,0.9359,0.81269,0.68075,0.46309,1.00932,0.000674488,0.000674488,0.000674488
162,668.177,0.71236,0.41863,0.99121,0.92711,0.89474,0.94463,0.80504,0.66288,0.4632,1.00497,0.000669772,0.000669772,0.000669772
163,671.9,0.71235,0.42182,0.9804,0.88929,0.93422,0.94009,0.81712,0.67453,0.44696,1.01115,0.000665057,0.000665057,0.000665057
164,675.668,0.70193,0.41807,0.97974,0.94055,0.90927,0.9427,0.80511,0.6604,0.45513,1.00629,0.000660341,0.000660341,0.000660341
165,679.452,0.68874,0.40552,0.97656,0.91205,0.92256,0.94357,0.81339,0.63336,0.46412,0.98247,0.000655625,0.000655625,0.000655625
166,683.217,0.69727,0.40336,0.97433,0.89685,0.94395,0.95532,0.82516,0.63902,0.44294,0.98539,0.000650909,0.000650909,0.000650909
167,686.983,0.72487,0.42127,0.97763,0.91786,0.89904,0.93649,0.79495,0.64082,0.4904,0.99626,0.000646194,0.000646194,0.000646194
168,690.727,0.70213,0.40992,0.98198,0.88183,0.89641,0.93642,0.78639,0.71595,0.51265,1.02814,0.000641478,0.000641478,0.000641478
169,694.415,0.7207,0.43119,0.99692,0.87912,0.95928,0.95715,0.80653,0.67196,0.47215,1.01712,0.000636762,0.000636762,0.000636762
170,698.121,0.70776,0.42844,0.99111,0.88244,0.93674,0.95079,0.79593,0.67519,0.45151,1.01521,0.000632047,0.000632047,0.000632047
171,701.891,0.68982,0.40322,0.97657,0.87348,0.94469,0.95319,0.81686,0.6521,0.44757,0.98914,0.000627331,0.000627331,0.000627331
172,705.723,0.67817,0.41605,0.96143,0.91048,0.93422,0.96208,0.81187,0.66356,0.43461,1.00765,0.000622615,0.000622615,0.000622615
173,709.473,0.69404,0.40991,0.97577,0.90941,0.95271,0.96276,0.8215,0.67348,0.45001,1.01044,0.0006179,0.0006179,0.0006179
174,713.275,0.70699,0.41586,0.98486,0.90112,0.90624,0.93325,0.80328,0.67403,0.44534,1.01836,0.000613184,0.000613184,0.000613184
175,717.073,0.6732,0.41766,0.97185,0.87417,0.9302,0.92864,0.79982,0.65702,0.44965,1.00637,0.000608468,0.000608468,0.000608468
176,720.795,0.67309,0.4116,0.96522,0.91226,0.86716,0.93885,0.7853,0.69233,0.47621,1.0231,0.000603752,0.000603752,0.000603752
177,724.43,0.7128,0.41152,0.98714,0.90638,0.91098,0.944,0.81086,0.65099,0.45014,0.9939,0.000599037,0.000599037,0.000599037
178,728.093,0.66118,0.39034,0.96658,0.91552,0.91573,0.93743,0.80546,0.66365,0.46983,1.00584,0.000594321,0.000594321,0.000594321
179,731.802,0.69189,0.41585,0.97582,0.89733,0.92321,0.9209,0.80251,0.65006,0.45822,0.9966,0.000589605,0.000589605,0.000589605
